Transparent|透明
Entrance A|入口A
Boundary Line A (Upper Left)|境界線A(左上)
Boundary Line A (Center)|境界線A(真ん中)
Boundary Line A (Upper Right)|境界線A(右上)
Boundary Line B (Upper Left)|境界線B(左上)
Boundary Line B (Center)|境界線B(真ん中)
Boundary Line B (Upper Right)|境界線B(右上)
Entrance B|入口B
Gradation A|グラデーションA
Boundary Line A (Left)|境界線A(左)
Boundary Line A (Gathering)|境界線A(集合)
Boundary Line A (Right)|境界線A(右)
Boundary Line B (Left)|境界線B(左)
Boundary Line B (Gathering)|境界線B(集合)
Boundary Line B (Right)|境界線B(右)
Gradation B|グラデーションB
Fissures|亀裂
Stairs A (Up 1)|階段A（上り1）
Stairs A (Up 2)|階段A（上り2）
Stairs B (Up 1)|階段B（上り1）
Stairs B (Up 2)|階段B（上り2）
Stairs C (Up 1)|階段C（上り1）
Stairs C (Up 2)|階段C（上り2）
Gradation C|グラデーションC
Stain|汚れ
Stairs A (Down 1)|階段A（下り1）
Stairs A (Down 2)|階段A（下り2）
Stairs B (Down 1)|階段B（下り1）
Stairs B (Down 2)|階段B（下り2）
Stairs C (Down 1)|階段C（下り1）
Stairs C (Down 2)|階段C（下り2）
Stairs D (Up 1)|階段D（上り1）
Stairs D (Up 2)|階段D（上り2）
Stairs E (Up 1)|階段E（上り1）
Stairs E (Up 2)|階段E（上り2）
Stairs F (Up 1)|階段F（上り1）
Stairs F (Up 2)|階段F（上り2）
Stairs G (Up 1)|階段G（上り1）
Stairs G (Up 2)|階段G（上り2）
Stairs D (Down 1)|階段D（下り1）
Stairs D (Down 2)|階段D（下り2）
Stairs E (Down 1)|階段E（下り1）
Stairs E (Down 2)|階段E（下り2）
Stairs F (Down 1)|階段F（下り1）
Stairs F (Down 2)|階段F（下り2）
Stairs G (Down 1)|階段G（下り1）
Stairs G (Down 2)|階段G（下り2）
Stairs H (Up 1)|階段H（上り1）
Stairs H (Up 2)|階段H（上り2）
Stairs I (Up 1)|階段I（上り1）
Stairs I (Up 2)|階段I（上り2）
Stairs J (Up 1)|階段J（上り1）
Stairs J (Up 2)|階段J（上り2）
Stairs K (Up 1)|階段K（上り1）
Stairs K (Up 2)|階段K（上り2）
Stairs H (Down 1)|階段H（下り1）
Stairs H (Down 2)|階段H（下り2）
Stairs I (Down 1)|階段I（下り1）
Stairs I (Down 2)|階段I（下り2）
Stairs J (Down 1)|階段J（下り1）
Stairs J (Down 2)|階段J（下り2）
Stairs K (Down 1)|階段K（下り1）
Stairs K (Down 2)|階段K（下り2）
Vines A|ツタA
Vines B|ツタB
Ladder A|はしごA
Ladder B|はしごB
Ladder C|はしごC
Ladder D|はしごD
Ladder E|はしごE
Ladder F|はしごF
Ladder G|はしごG
Ladder H|はしごH
Ladder I|はしごI
Ladder J|はしごJ
Pot A|壺A
Pot B|壺B
Barrel A|樽A
Barrel B|樽B
Wooden Bridge (V)|木の橋（縦）
Wooden Bridge (V)|木の橋（縦）
Wooden Bridge (V)|木の橋（縦）
Wooden Bridge (H)|木の橋（横）
Wooden Bridge (H, Broken)|木の橋（横、破壊）
Wooden Bridge (H)|木の橋（横）
Rails|線路
Rails|線路
Wooden Bridge (V, Broken)|木の橋（縦、破壊）
Wooden Bridge (V, Broken)|木の橋（縦、破壊）
Wooden Bridge (V, Broken)|木の橋（縦、破壊）
Wooden Bridge (H)|木の橋（横）
Wooden Bridge (H, Broken)|木の橋（横、破壊）
Wooden Bridge (H, Broken)|木の橋（横、破壊）
Rails|線路
Rails|線路
Stone Bridge (V)|石の橋（縦）
Stone Bridge (V)|石の橋（縦）
Stone Bridge (V, Broken)|石の橋（縦、破壊）
Stone Bridge (V, Broken)|石の橋（縦、破壊）
Stone Bridge (H)|石の橋（横）
Rails|線路
Rails|線路
Rails|線路
Stone Bridge (V)|石の橋（縦）
Stone Bridge (V)|石の橋（縦）
Stone Bridge (V, Broken)|石の橋（縦、破壊）
Stone Bridge (V, Broken)|石の橋（縦、破壊）
Stone Bridge (H)|石の橋（横）
Rails|線路
Rails|線路
Rails|線路
Stone Bridge (V, Broken)|石の橋（縦、破壊）
Stone Bridge (H, Broken)|石の橋（横、破壊）
