Black|黒
Dark Brown|濃い茶色
Light Blue|水色
Blue|青
Ledge A (Snow, Brick, Left and Right)|段差A（雪・レンガ・左右）
Ledge A (Snow, Brick, Left)|段差A（雪・レンガ・左）
Ledge A (Snow, Brick, Center)|段差A（雪・レンガ・中央）
Ledge A (Snow, Brick, Right)|段差A（雪・レンガ・右）
Ledge B (Dirt, Left and Right)|段差B（土・左右）
Ledge B (Dirt, Left)|段差B（土・左）
Ledge B (Dirt, Center)|段差B（土・中央）
Ledge B (Dirt, Right)|段差B（土・右）
Ledge C (Dirt, Left and Right)|段差C（土・左右）
Ledge C (Dirt, Left)|段差C（土・左）
Ledge C (Dirt, Center)|段差C（土・中央）
Ledge C (Dirt, Right)|段差C（土・右）
Green|緑
Dirt A|土A
Dirt B|土B
Desert A|砂地A
Desert B|砂地B
Bald Meadow A|禿げた草地A
Bald Meadow B|禿げた草地B
Bald Meadow C|禿げた草地C
Ledge D (Dirt, Left and Right)|段差D（土・左右）
Ledge D (Dirt, Left)|段差D（土・左）
Ledge D (Dirt, Center)|段差D（土・中央）
Ledge D (Dirt, Right)|段差D（土・右）
Ledge E (Snow, Dirt, Left and Right)|段差E（雪・土・左右）
Ledge E (Snow, Dirt, Left)|段差E（雪・土・左）
Ledge E (Snow, Dirt, Center)|段差E（雪・土・中央）
Ledge E (Snow, Dirt, Right)|段差E（雪・土・右）
Cobblestones A|石畳A
Cobblestones B (Moss)|石畳B(苔)
Cobblestones C (Desert)|石畳C(砂地)
Cobblestones D (Snow)|石畳D（雪）
Cobblestones E|石畳E
Cobblestones F (Moss)|石畳F(苔)
Cobblestones G (Desert)|石畳G(砂地)
Cobblestones H (Snow)|石畳H（雪）
Ledge F (Brick, Left and Right)|段差F（レンガ・左右）
Ledge F (Brick, Left)|段差F（レンガ・左）
Ledge F (Brick, Center)|段差F（レンガ・中央）
Ledge F (Brick, Right)|段差F（レンガ・右）
Ledge G (Brick, Left and Right)|段差G（レンガ・左右）
Ledge G (Brick, Left)|段差G（レンガ・左）
Ledge G (Brick, Center)|段差G（レンガ・中央）
Ledge G (Brick, Right)|段差G（レンガ・右）
Meadow A|草地A
Meadow B|草地B
Snow|雪
Ice|氷
Shade Of Ice|氷の影
Super Ancient Cobblestone A|超古代の石畳A
Super Ancient Cobblestone B|超古代の石畳B
Super Ancient Cobblestone C|超古代の石畳C
Frozen Waterfall|凍った滝
Drainage Outfall A|排水口A
Drainage Outfall B|排水口B
Drainage Outfall C|排水口C
Bush A|草むらA
Bush B|草むらB
Flowers|花
Yellow|黄色
