Transparent|透明
Entrance A|入口A
Ladder A|はしごA
Ladder B|はしごB
Ladder C|はしごC
Ladder D|はしごD
Ladder E|はしごE
Ladder F|はしごF
Entrance B|入口B
Gradation A|グラデーションA
Stairs A (Up)|階段A（上り）
Stairs B (Up)|階段B（上り）
Stairs C (Up)|階段C（上り）
Stairs D (Up)|階段D（上り）
Stairs E (Up,Snow)|階段E（上り・雪）
Stairs F (Up,Snow)|階段F（上り・雪）
Gradation B|グラデーションB
Vines|ツタ
Stairs A (Down)|階段A（下り）
Stairs B (Down)|階段B（下り）
Stairs C (Down)|階段C（下り）
Stairs D (Down)|階段D（下り）
Stairs E (Down,Snow)|階段E（下り・雪）
Stairs F (Down,Snow)|階段F（下り・雪）
Shop Sign (Inn)|看板（宿）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Sword)|看板（剣）
Shop Sign (Armor)|看板（鎧）
Shop Sign (Crystal Jade)|看板（水晶玉）
Shop Sign (Bottle)|看板（ビン）
Shop Sign (Sack)|看板（袋）
Shop Sign (Eatery)|看板（食堂）
Big Bridge Pier A|橋脚大A
Big Bridge Pier B|橋脚大B
Big Bridge Pier C|橋脚大C
Arch Bridge A|アーチ橋A
Arch Bridge B|アーチ橋B
Arch Bridge C|アーチ橋C
Sign A|立て札A
Sign B|立て札B
Big Bridge Pier A|橋脚大A
Big Bridge Pier B|橋脚大B
Big Bridge Pier C|橋脚大C
Floating Cliffs|浮遊する崖
Floating Cliffs|浮遊する崖
Floating Cliffs|浮遊する崖
Sign C|立て札C
Sign D (Snow)|立て札D(雪)
Big Bridge Pier A|橋脚大A
Big Bridge Pier B|橋脚大B
Big Bridge Pier C|橋脚大C
Floating Cliffs|浮遊する崖
Floating Cliffs|浮遊する崖
Floating Cliffs|浮遊する崖
Post A|ポストA
Post B|ポストB
Boundary Line A (Upper Left)|境界線A(左上)
Boundary Line A (Center)|境界線A(真ん中)
Boundary Line A (Upper Right)|境界線A(右上)
Boundary Line B (Upper Left)|境界線B(左上)
Boundary Line B (Center)|境界線B(真ん中)
Boundary Line B (Upper Right)|境界線B(右上)
Post C|ポストC
Post D (Snow)|ポストD (雪)
Boundary Line A (Left)|境界線A(左)
Boundary Line A (Gathering)|境界線A(集合)
Boundary Line A (Right)|境界線A(右)
Boundary Line B (Left)|境界線B(左)
Boundary Line B (Gathering)|境界線B(集合)
Boundary Line B (Right)|境界線B(右)
Fissures|亀裂
Stain|汚れ
Window A|窓A
Chimney A|煙突A
Chimney B|煙突B
Chimney C|煙突C
Chimney D (Snow)|煙突D(雪)
