Transparent|透明
Entrance A|入口A
Ladder A|はしごA
Ladder B|はしごB
Ladder C|はしごC
Ladder D|はしごD
Fissures|亀裂
Stain|汚れ
Entrance B|入口B
Gradation A|グラデーションA
Stairs A (Up)|階段A（上り）
Stairs B (Up)|階段B（上り）
Stairs C (Up)|階段C（上り）
Stairs D (Up)|階段D（上り）
Stairs E (Up)|階段E（上り）
Stairs F (Up)|階段F（上り）
Gradation B|グラデーションB
Rope|ロープ
Stairs A (Down)|階段A（下り）
Stairs B (Down)|階段B（下り）
Stairs C (Down)|階段C（下り）
Stairs D (Down)|階段D（下り）
Stairs E (Down)|階段E（下り）
Stairs F (Down)|階段F（下り）
Boundary Line A (Upper Left)|境界線A(左上)
Boundary Line A (Center)|境界線A(真ん中)
Boundary Line A (Upper Right)|境界線A(右上)
Boundary Line B (Upper Left)|境界線B(左上)
Boundary Line B (Center)|境界線B(真ん中)
Boundary Line B (Upper Right)|境界線B(右上)
Stairs G (Up)|階段G（上り）
Stairs H (Up)|階段H（上り）
Boundary Line A (Left)|境界線A(左)
Boundary Line A (Gathering)|境界線A(集合)
Boundary Line A (Right)|境界線A(右)
Boundary Line B (Left)|境界線B(左)
Boundary Line B (Gathering)|境界線B(集合)
Boundary Line B (Right)|境界線B(右)
Stairs G (Down)|階段G（下り）
Stairs H (Down)|階段H（下り）
Shop Sign (Inn)|看板（宿）
Shop Sign (Pub)|看板（酒場）
Shop Sign (Sword)|看板（剣）
Shop Sign (Armor)|看板（鎧）
Shop Sign (Crystal Jade)|看板（水晶玉）
Shop Sign (Bottle)|看板（ビン）
Shop Sign (Sack)|看板（袋）
Shop Sign (Eatery)|看板（食堂）
Window A|窓A
Window B|窓B
Window C|窓C
Window D|窓D
Helm(Front)|舵（正面）
Helm(Front)|舵（正面）
Helm(Front)|舵（正面）
Helm(Side)|舵（側面）
Window E|窓E
Window F|窓F
Window G|窓G
Window H|窓H
Helm(Front)|舵（正面）
Helm(Front)|舵（正面）
Helm(Front)|舵（正面）
Helm(Side)|舵（側面）
Circular Window A|丸窓A
Circular Window B|丸窓B
Circular Window C|丸窓C
Circular Window D|丸窓D
Lever A(Side)|レバーA(側面)
Lever A(Front)|レバーA(正面)
Cockpit A|操縦席A
Cockpit A|操縦席A
Circular Window E|丸窓E
Circular Window F|丸窓F
Circular Window G|丸窓G
Circular Window H|丸窓H
Lever B(Side)|レバーB(側面)
Lever B(Front)|レバーB(正面)
Cockpit A|操縦席A
Cockpit A|操縦席A
Sofa A(Two-Seater,Side)|ソファーA(二人掛け・側面)
