Pier Legs|桟橋の脚
Mooring Bollard|ビット
Roof B (Supplement)|屋根B(補足)
Roof B (Supplement)|屋根B(補足)
Roof C (Supplement)|屋根C(補足)
Roof C (Supplement)|屋根C(補足)
Roof D (Supplement)|屋根D(補足)
Roof D (Supplement)|屋根D(補足)
Roof A(Diagonal)|屋根A(斜め)
Roof A(Diagonal)|屋根A(斜め)
Roof B(Diagonal)|屋根B(斜め)
Roof B(Diagonal)|屋根B(斜め)
Roof C(Diagonal)|屋根C(斜め)
Roof C(Diagonal)|屋根C(斜め)
Roof D(Diagonal)|屋根D(斜め)
Roof D(Diagonal)|屋根D(斜め)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall A(Diagonal, Cobbling Together)|壁A(斜め・つぎはぎ)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall B(Diagonal, Light Blue)|壁B(斜め・水色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall C(Diagonal, Gray)|壁C(斜め・灰色)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Wall D(Diagonal, Wooden Deck)|壁D(斜め・木造甲板)
Roof E (Supplement)|屋根E(補足)
Roof E (Supplement)|屋根E(補足)
Roof F (Supplement)|屋根F(補足)
Roof F (Supplement)|屋根F(補足)
Roof G (Supplement)|屋根G(補足)
Roof G (Supplement)|屋根G(補足)
Roof H (Supplement)|屋根H(補足)
Roof H (Supplement)|屋根H(補足)
Roof E(Diagonal)|屋根E(斜め)
Roof E(Diagonal)|屋根E(斜め)
Roof F(Diagonal)|屋根F(斜め)
Roof F(Diagonal)|屋根F(斜め)
Roof G(Diagonal)|屋根G(斜め)
Roof G(Diagonal)|屋根G(斜め)
Roof H(Diagonal)|屋根H(斜め)
Roof H(Diagonal)|屋根H(斜め)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall G(Diagonal, Deck A)|壁G(斜め・甲板A)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Wall H(Diagonal, Deck B)|壁H(斜め・甲板B)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall E(Diagonal, Wood A)|壁E(斜め・木造A)
Wall F(Diagonal, Wood B)|壁F(斜め・木造B)
